2025-03-03 12:28:33 | ERROR | Agent # unavailable
2025-03-03 12:28:44 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:28:47 | ERROR | Agent oghma unavailable
2025-03-03 12:28:48 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:28:48 | ERROR | Agent # unavailable
2025-03-03 12:28:50 | ERROR | Agent oghma unavailable
2025-03-03 12:28:53 | ERROR | Agent oghma unavailable
2025-03-03 12:28:56 | ERROR | Agent oghma unavailable
2025-03-03 12:28:59 | ERROR | Agent oghma unavailable
2025-03-03 12:29:02 | ERROR | Agent oghma unavailable
2025-03-03 12:29:03 | ERROR | Agent # unavailable
2025-03-03 12:29:05 | ERROR | Agent oghma unavailable
2025-03-03 12:29:08 | ERROR | Agent oghma unavailable
2025-03-03 12:29:11 | ERROR | Agent oghma unavailable
2025-03-03 12:29:14 | ERROR | Agent oghma unavailable
2025-03-03 12:29:17 | ERROR | Agent oghma unavailable
2025-03-03 12:29:18 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:29:18 | ERROR | Agent # unavailable
2025-03-03 12:29:20 | ERROR | Agent oghma unavailable
2025-03-03 12:29:23 | ERROR | Agent oghma unavailable
2025-03-03 12:29:26 | ERROR | Agent oghma unavailable
2025-03-03 12:29:29 | ERROR | Agent oghma unavailable
2025-03-03 12:29:32 | ERROR | Agent oghma unavailable
2025-03-03 12:29:33 | ERROR | Agent # unavailable
2025-03-03 12:29:35 | ERROR | Agent oghma unavailable
2025-03-03 12:29:38 | ERROR | Agent oghma unavailable
2025-03-03 12:29:41 | ERROR | Agent oghma unavailable
2025-03-03 12:29:44 | ERROR | Agent oghma unavailable
2025-03-03 12:29:47 | ERROR | Agent oghma unavailable
2025-03-03 12:29:48 | ERROR | Agent # unavailable
2025-03-03 12:29:50 | ERROR | Agent oghma unavailable
2025-03-03 12:29:53 | ERROR | Agent oghma unavailable
2025-03-03 12:29:56 | ERROR | Agent oghma unavailable
2025-03-03 12:29:59 | ERROR | Agent oghma unavailable
2025-03-03 12:30:02 | ERROR | Agent oghma unavailable
2025-03-03 12:30:03 | ERROR | Agent # unavailable
2025-03-03 12:30:05 | ERROR | Agent oghma unavailable
2025-03-03 12:30:08 | ERROR | Agent oghma unavailable
2025-03-03 12:30:11 | ERROR | Agent oghma unavailable
2025-03-03 12:30:14 | ERROR | Agent oghma unavailable
2025-03-03 12:30:17 | ERROR | Agent oghma unavailable
2025-03-03 12:30:18 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:30:18 | ERROR | Agent # unavailable
2025-03-03 12:30:33 | ERROR | Agent # unavailable
2025-03-03 12:30:48 | ERROR | Agent # unavailable
2025-03-03 12:31:03 | ERROR | Agent # unavailable
2025-03-03 12:31:18 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:31:18 | ERROR | oghma: Agent health depleted, going inactive
2025-03-03 12:31:18 | ERROR | Agent # unavailable
